2017-06-23 02:34:37,657, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:34:39,590, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:34:42,615, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:34:45,313, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:34:47,567, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:34:50,376, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:34:52,665, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:34:55,450, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:34:57,628, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:00,517, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:02,779, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:05,239, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:07,665, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:10,136, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:12,601, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:15,524, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:18,148, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:20,719, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:22,857, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:25,312, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:28,012, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:30,291, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:32,672, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:35,095, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:37,600, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:40,263, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:42,789, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:44,140, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:45,718, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:48,377, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:50,700, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:52,924, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:55,379, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:35:57,808, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:00,325, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:03,162, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:05,860, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:08,371, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:10,993, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:13,371, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:16,282, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:18,732, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:21,050, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:23,773, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:26,361, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:28,794, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:31,335, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:33,941, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:36,235, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:38,831, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:41,194, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:43,625, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:46,094, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:48,780, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:51,036, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:53,694, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:56,004, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:36:58,658, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:00,961, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:03,400, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:05,759, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:08,268, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:10,866, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:13,357, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:15,696, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:18,148, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:20,486, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:22,889, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:25,279, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:27,678, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:30,189, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:32,564, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:35,103, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:37,547, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:39,870, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:42,379, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:43,819, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:46,077, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:48,698, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:50,957, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:53,501, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:56,052, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:37:58,673, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:01,016, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:03,739, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:06,248, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:08,948, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:11,549, [MainProcess], airflow_app, INFO, start the session
